Date,Entropy_1,Entropy_2,Entropy_3,Entropy_4,Entropy_5,Entropy_6,Entropy_7,Entropy_8,Entropy_9,Entropy_10,Entropy_11,Entropy_12,Entropy_13,Entropy_14,Entropy_15,Entropy_16,Entropy_17,Entropy_18,Entropy_19,Entropy_20,Entropy_21,Entropy_22,Entropy_23,Entropy_24,Entropy_25,Entropy_26,Entropy_27,Entropy_28,Entropy_29,Entropy_30,Entropy_31,Entropy_32,Entropy_33,Entropy_34,Entropy_35,Entropy_36,Country
"Nov,20",0.667613879,0.757685702,0.830069556,0.676480128,0.624154309,0.639746404,0.851752211,0.599328425,0.635988767,0.936769263,0.504045937,0.833331153,0.668854488,0.566995895,0.817444897,0.684563437,0.578266905,0.750305594,0.555525803,0.936093359,0.592051064,0.630756888,0.90043536,0.562608309,0.791265037,0.631271777,1.023811076,0.796943974,0.860601826,0.684489118,0.876426133,0.909370289,0.556482626,0.841567186,0.705886206,0.688789875,Brazil
"Dec,20",0.406986021,0.576887374,0.685767073,0.505191806,0.459799459,0.434175214,0.640847681,0.475845905,0.529259325,0.438102037,0.467340512,0.58093519,0.632928321,0.495979116,0.612385824,0.632928321,0.400803095,0.506628346,0.49072976,0.542040643,0.556125383,0.496899314,0.66750475,0.48920316,0.371712821,0.627764421,0.527354926,0.56441964,0.706846025,0.461345567,0.576130722,0.606135804,0.527354926,0.540440544,0.498991166,0.634498453,Brazil
"Jan,21",0.291538614,0.518221785,0.560250507,0.528728915,0.386574346,0.374158203,0.584475825,0.428022456,0.40920343,0.362609679,0.435547376,0.418904528,0.505583148,0.398739311,0.480041662,0.531010977,0.352066641,0.420530172,0.409784769,0.477198797,0.459009016,0.47871557,0.467081075,0.436404792,0.307115253,0.489149077,0.486582012,0.384821497,0.505781477,0.47658661,0.496347605,0.51868936,0.46050054,0.452503482,0.451805445,0.524524468,Brazil
"Feb,21",0.265555793,0.392100271,0.384160818,0.420106658,0.338016205,0.331629612,0.434987547,0.344671952,0.360537767,0.291361929,0.366342947,0.315550971,0.415112678,0.376761703,0.331182692,0.417118554,0.257949246,0.291392652,0.35109825,0.368202449,0.415360736,0.328701092,0.371918986,0.324989125,0.269728269,0.321682433,0.3774985,0.297251523,0.406913334,0.297778533,0.403321485,0.402510896,0.361606123,0.360428055,0.349311215,0.399961517,Brazil
"Mar,21",0.198850859,0.309137007,0.252051077,0.312491378,0.279043954,0.267647382,0.320955388,0.287491506,0.302660673,0.253742793,0.31251203,0.26497334,0.280745628,0.253360842,0.266958844,0.310154928,0.214164815,0.223994253,0.218879153,0.324926246,0.305590649,0.231259208,0.274497588,0.270511785,0.219192093,0.202489733,0.285369933,0.218903262,0.301529198,0.263110812,0.271933715,0.334325289,0.334928568,0.266356055,0.245891689,0.333103861,Brazil
"Apr,21",0.156517091,0.249401736,0.218417272,0.236124263,0.234050948,0.186049427,0.21556962,0.208865863,0.206019348,0.159498286,0.240982482,0.203687685,0.245802603,0.225209363,0.188885106,0.232229136,0.196778125,0.207248663,0.180228289,0.229752048,0.203029187,0.193044471,0.204829786,0.210774688,0.20041203,0.191464746,0.229676288,0.213742777,0.211765548,0.230946445,0.202310465,0.256362509,0.248999286,0.266573109,0.200107498,0.231597352,Brazil
"May,21",0.233124535,0.305417872,0.294213118,0.317065806,0.247789823,0.248690778,0.32003406,0.252677266,0.257269603,0.204838609,0.288853523,0.233822903,0.316550056,0.327522506,0.213620833,0.301037017,0.272090448,0.291528553,0.266115676,0.339215723,0.300833501,0.273192686,0.255292554,0.306355166,0.259715124,0.255849583,0.327358959,0.293233437,0.275424013,0.309506119,0.248550527,0.342619797,0.32814011,0.28885588,0.251027464,0.298449337,Brazil
"Jun,21",0.502091944,0.664159644,0.449169542,0.634306681,0.528391947,0.535244151,0.637577329,0.538996501,0.693147181,0.582284588,0.554561017,0.579312038,0.534923175,0.649344558,0.480585739,0.715620036,0.528643467,0.562932541,0.592051064,0.610909082,0.498991166,0.620024916,0.642594901,0.604954469,0.450201002,0.47656103,0.56710646,0.524524468,0.587786665,0.499396928,0.520534438,0.515309936,0.700582159,0.584737882,0.508575904,0.513175801,Brazil
"Jan,20",1.386294361,666,666,1.609437912,0.693147181,0.693147181,0.693147181,0.916290732,666,666,666,0.84729786,666,666,666,0.84729786,666,666,666,666,666,666,1.386294361,1.386294361,1.386294361,1.386294361,0.693147181,0.470003629,1.386294361,1.386294361,666,1.098612289,0.336472237,666,666,0.693147181,Canada
"Mar,20",0.119433473,0.118650715,0.124703479,0.131045684,0.110821084,0.12661095,0.118529902,0.117022455,0.113259603,0.119407731,0.115952815,0.118541555,0.118106922,0.079258198,0.110720406,0.124527323,0.108409299,0.099499832,0.082020389,0.087321695,0.112680984,0.096689253,0.122639772,0.128309449,0.129598251,0.125742517,0.123590953,0.081731897,0.117998762,0.118650715,0.090971778,0.094719138,0.118432597,0.096492313,0.101843903,0.122791212,Canada
"Apr,20",0.12564917,0.119761987,0.107696495,0.124093936,0.101448491,0.099629841,0.125889096,0.117602937,0.109584808,0.103605989,0.115616188,0.108234081,0.117963688,0.097675179,0.119670592,0.108503272,0.111097673,0.106240833,0.097382275,0.100311821,0.117511333,0.094178478,0.121431343,0.125746829,0.123671,0.130315789,0.118144896,0.099479548,0.113619003,0.126321556,0.11569127,0.114169009,0.120422881,0.102168175,0.111946356,0.109562203,Canada
"May,20",0.224444224,0.187760047,0.228258652,0.194156014,0.217168288,0.18164382,0.201238716,0.166146918,0.238999894,0.165514438,0.212606046,0.202558914,0.196563914,0.185027918,0.181650641,0.212112468,0.210805594,0.172371226,0.163887855,0.173634566,0.202524264,0.191956869,0.215178722,0.195973646,0.146428634,0.241638134,0.246653559,0.140980217,0.222277375,0.217168288,0.173000584,0.172058265,0.175380527,0.190518324,0.221461465,0.191055237,Canada
"Jun,20",0.582605306,0.477627554,0.639079959,0.610909082,0.515164025,0.418710335,0.462623522,0.49365782,0.53329848,0.667171694,0.576887374,0.411296028,0.531879033,0.523248144,0.653926467,0.584933596,0.748717032,0.49365782,0.606135804,0.626897795,0.450201002,0.707331816,0.652873281,0.576887374,0.405465108,0.510825624,0.601579987,0.524070851,0.665748206,0.603916047,0.460524885,0.617161274,0.497402603,0.73511138,0.584933596,0.542864978,Canada
"Jul,20",0.324151752,0.37430994,0.372809145,0.182321557,0.256619481,0.297576146,0.304211374,0.226184608,0.316431486,0.368193713,0.38242744,0.181567124,0.273624333,0.334799995,0.343876631,0.291580713,0.409675641,0.334799995,0.325108478,0.27827972,0.31449333,0.359719086,0.362114667,0.313446209,0.186190034,0.322168249,0.285018955,0.21815601,0.318955865,0.284975711,0.353139289,0.294452579,0.240429188,0.229185866,0.2706993,0.328969075,Canada
"Aug,20",0.398763895,0.269004796,0.374258572,0.286088447,0.311981217,0.283321312,0.373146317,0.205161049,0.350895564,0.310588439,0.432762088,0.220828735,0.225760212,0.386670981,0.343801741,0.309188278,0.299986256,0.335260849,0.384219999,0.245717873,0.234290631,0.362529963,0.361697034,0.223143551,0.264124312,0.327016475,0.36911987,0.219954681,0.375683276,0.240628068,0.261785728,0.294666967,0.208611311,0.30207081,0.277012143,0.362981902,Canada
"Sep,20",0.314157746,0.330854244,0.288066614,0.303380982,0.28610354,0.27200777,0.33029351,0.250315926,0.258381596,0.249126796,0.298697133,0.271637901,0.171132948,0.296346955,0.30200952,0.268531736,0.234637931,0.287287673,0.304708815,0.172496275,0.189722146,0.223999105,0.35364004,0.151898427,0.295392211,0.323116445,0.28729679,0.262836074,0.263880565,0.192783331,0.305212402,0.229391797,0.277914462,0.280336205,0.285739192,0.296346955,Canada
"Oct,20",0.416448743,0.447105665,0.556050722,0.5152754,0.453017648,0.360535677,0.441832752,0.38003367,0.353549497,0.403941879,0.447981114,0.322494141,0.414514944,0.366639239,0.471178487,0.36927534,0.41395031,0.313710245,0.38003367,0.446159299,0.278643922,0.446162484,0.492290974,0.300104592,0.389512626,0.345659439,0.472859026,0.342366163,0.345188615,0.341019047,0.451274644,0.426206592,0.493961818,0.446038625,0.41000713,0.465586838,Canada
"Nov,20",0.331102066,0.501167302,0.502663863,0.464280029,0.406300181,0.330821565,0.444936279,0.423937506,0.41191403,0.442522343,0.485014145,0.330193646,0.462556906,0.414912247,0.489428411,0.461171329,0.448559235,0.267929231,0.361602057,0.395879933,0.429741611,0.515309936,0.531879033,0.36113426,0.363911268,0.383254312,0.433635985,0.412187823,0.33182182,0.398731076,0.470003629,0.439863763,0.389622111,0.397180057,0.468068181,0.445117242,Canada
"Dec,20",0.438801528,0.59559089,0.459117822,0.509984227,0.443931389,0.373371512,0.439885332,0.43599037,0.393595533,0.409946072,0.378172024,0.404970426,0.403991268,0.42494064,0.522863602,0.491291813,0.357808249,0.330263179,0.390175045,0.427180675,0.365474319,0.507464276,0.504994703,0.442895779,0.355832484,0.478002851,0.477061663,0.427744511,0.339187785,0.43559485,0.421493068,0.534082486,0.45836576,0.479921735,0.493948291,0.500146397,Canada
"Jan,21",0.494422541,0.496622674,0.457601928,0.495974573,0.505977475,0.408459763,0.532478553,0.508978639,0.373457355,0.400126067,0.51010594,0.462949676,0.387254244,0.428375863,0.517383024,0.500926683,0.387584683,0.364712081,0.42315309,0.458218339,0.418830256,0.448451982,0.511548951,0.354446229,0.327406922,0.489638391,0.452967442,0.481635645,0.39022632,0.453651225,0.412703803,0.498211184,0.502690276,0.496961327,0.533190073,0.483787385,Canada
"Feb,21",0.381921261,0.422667886,0.373502757,0.448751354,0.343312446,0.352730828,0.508004747,0.473676837,0.411190602,0.388410207,0.496479303,0.293690425,0.422129636,0.356760337,0.569834177,0.371236229,0.368935434,0.329122265,0.333576202,0.41714014,0.422154121,0.488664052,0.448628405,0.386250543,0.369171387,0.44163209,0.396496438,0.480697661,0.497761305,0.367982015,0.335061468,0.361445426,0.482789192,0.488574041,0.393561934,0.415948954,Canada
"Mar,21",0.174856303,0.183368129,0.16863313,0.182664434,0.179270422,0.185013906,0.204534165,0.199155035,0.183989614,0.176769985,0.194440385,0.134759019,0.212992941,0.127132182,0.175561314,0.173030603,0.118754627,0.10145317,0.151262223,0.180943197,0.167302543,0.186815946,0.197874624,0.195674561,0.15869322,0.199007638,0.152704917,0.191037185,0.185643129,0.172965802,0.131613567,0.199015397,0.222000041,0.219640769,0.175391809,0.199284454,Canada
